timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sun Nov 10 00:42:47 +0000 2019,1193328110281908231,A reminder of how unacceptable it was when Barr admitted he didn’t review the underlying evidence in Mueller's inve… https://t.co/KkMlOEzpLu,True,[],[],7941,27920,False,en,popular,afraid,SenKamalaHarris,Kamala Harris,956889,514,3880
Mon Nov 11 04:17:44 +0000 2019,1193744593092628480,"I'm sorry, but Zeke is a shell of his rookie self. I'm afraid Jerry terribly overpaid him.",False,[],[],664,3946,,en,popular,afraid,RealSkipBayless,Skip Bayless,2927729,3,44002
Sun Nov 10 23:41:45 +0000 2019,1193675139717705730,Sources are telling me they are afraid that Bolivia's elected President Evo Morales might be killed tonight in the… https://t.co/3H7hywvSaT,True,[],[],1967,3689,,en,popular,afraid,BenjaminNorton,Ben Norton,93996,31757,72652
Mon Nov 11 15:39:38 +0000 2019,1193916200520171520,ok i decoded it too quickly im afraid https://t.co/TSS3nTwR69,False,[],[],0,0,False,en,recent,afraid,sxngularitaetae,moon,361,21037,36593
Mon Nov 11 15:39:30 +0000 2019,1193916164965109766,"The cuts are no longer softening this pain and anguish that I feel every day, even for a few minutes, they are no u… https://t.co/dFO4cAbqZ4",True,[],[],0,0,,en,recent,afraid,girlfuckingk,y o n l u,2,15,17
Mon Nov 11 15:39:14 +0000 2019,1193916099986898944,"#Donnie is behind glass.  Afraid of being shot?! Booooooooooo, #CadetBoneSpurs https://t.co/usJRhSTKHa",False,"[{'text': 'Donnie', 'indices': [0, 7]}, {'text': 'CadetBoneSpurs', 'indices': [63, 78]}]",[],0,0,False,en,recent,afraid,3340Vivian,viv,547,23197,24911
Mon Nov 11 15:39:04 +0000 2019,1193916054935785472,"You know, I’d have a lot more OG content if I wasn’t so afraid of vlogging. Dammit anxiety",False,[],[],0,0,,en,recent,afraid,BookishTherese,bookish therese🍂,170,4995,2356
Mon Nov 11 15:39:03 +0000 2019,1193916050842238978,Is trump standing behind a bullet proof shield while giving his Veteran’s Day speech?  If he’s so afraid of getting… https://t.co/HyK0Ziz8aL,True,[],[],0,0,,en,recent,afraid,kainapoint,Jo,2147,82235,23069
Mon Nov 11 15:38:57 +0000 2019,1193916029404991488,"Just wondering...are all these politicians that are not running again afraid they too, will be caught in the pay fo… https://t.co/MZKLXIsr2K",True,[],[],0,0,,en,recent,afraid,olelady6,Granny,3810,6135,36791
Mon Nov 11 15:38:45 +0000 2019,1193915979140497408,I'll move guys alhamdulillah but still need to be calm.. Afraid to get wrong place again.. Doa for me ya,False,[],[],0,0,,en,recent,afraid,erizarhisham,Erizar Hisham,135,351,5488
Mon Nov 11 15:38:44 +0000 2019,1193915974807904256,"Don't be afraid to be deserted by known and unknown cliques cause of the truth in your movement, 

Extraordinary Ca… https://t.co/U1gVkIiiHE",True,[],[],2,3,,en,recent,afraid,Felix55047847,Felix [Titan's PR] 🔱,1614,6358,1697
Mon Nov 11 15:38:43 +0000 2019,1193915968189280257,NAB is hesitant to take off Nawaz Sharif’s name from the Exit Control List. They are afraid that the slow poisoning… https://t.co/z3MZgMI8SU,True,[],[],0,0,,en,recent,afraid,MJavedIqbal001,MuhammadJavedIqbal,443,4378,1913
