timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sun Nov 10 06:49:31 +0000 2019,1193420404523585537,"The #awardswapsi gang Returns &amp; so angry

This unanimous verdict..
First the voters of India..

Then the Parliament… https://t.co/3gnm1lALjx",True,"[{'text': 'awardswapsi', 'indices': [4, 16]}]",[],2091,7119,,en,popular,angry,gauravcsawant,GAURAV C SAWANT,1417758,9379,41996
Sun Nov 10 22:21:56 +0000 2019,1193655053502078987,Liverpool are eight points clear at the top of the Premier League and this has made some people really angry.,False,[],[],3102,21533,,en,popular,angry,JamesPearceLFC,James Pearce,508021,8102,47052
Mon Nov 11 05:07:36 +0000 2019,1193757142236319744,Things have escalated. People have been shot by police. One in critical condition. I wish Blizzard would condemn th… https://t.co/blJpMpQWsS,True,[],[],2010,2870,False,en,popular,angry,Grummz,Mark Kern,80466,91397,3481
Mon Nov 11 15:39:22 +0000 2019,1193916131431464960,I’m not even gonna blackout the name because I’m so angry - you ever think what effect you will bring to our boys w… https://t.co/s0v9wdz6u8,True,[],[],0,0,,en,recent,angry,MINNNNNTIFY_,[JIAMIN ON BREAK],1142,97,59474
Mon Nov 11 15:39:17 +0000 2019,1193916111911149569,I tried the do gooder shyt that shyt left me worse off ... I see why the mean angry looking people be the ones with the bag ....,False,[],[],0,0,,en,recent,angry,BasedMonk,Dutch Master 5mok,276,1962,14634
Mon Nov 11 15:38:55 +0000 2019,1193916017283674112,i’ve been up for 30 minutes and i’m already angry and depressed (-:,False,[],[],0,0,,en,recent,angry,whtevrforeverr,joeknee fuckin smokes,1359,119947,55739
Mon Nov 11 15:38:51 +0000 2019,1193916002599391234,I get a raging fire in my stomach anytime I get pulled over. I get so Fucking angry.,False,[],[],0,0,,en,recent,angry,WhoaDere_Semaj,Baby D,4094,47101,164800
Mon Nov 11 15:38:48 +0000 2019,1193915991056617474,someone fly me out to australia rn I'm abt to fuckimg m*rder someone  I s2g I'm so angry,False,[],[],0,1,,en,recent,angry,ddaengyoonie,ᵃˡᵉˣ daegu crew | 🏳️‍🌈 [check 📌 pls],458,5834,21958
Mon Nov 11 15:38:41 +0000 2019,1193915961352450048,I get that you're stressed and angry but causing a scene in public? In a place where students came to rest? You cou… https://t.co/LJ4P5w5t3U,True,[],[],0,0,,en,recent,angry,MakiFilipino,Filipino Maki,17,1435,393
Mon Nov 11 15:38:40 +0000 2019,1193915954805248002,"Little man/woman syndrome

You little angry oompaloompas lmao https://t.co/ifWMCqV5ee",False,[],[],0,0,False,en,recent,angry,SusanJa34134309,Susan Jane,42,6,22720
Mon Nov 11 15:38:35 +0000 2019,1193915935117193216,"In Korean, smile means ✋🏼 and angry means 😘.",False,[],[],0,0,,en,recent,angry,kuyng_N1,Diana,0,0,86676
Mon Nov 11 15:38:34 +0000 2019,1193915931220750337,"⠀
     She was 7 the first time someone hit her. Some big boys were pushing this much smaller one around like a bal… https://t.co/E43MKz5obW",True,[],[],0,0,,en,recent,angry,BL00MPOKI,𝐏𝐎𝐊𝐈 ~ ♥,400,2244,5299
Mon Nov 11 15:38:32 +0000 2019,1193915922739859456,Armeries are so sexy when they're *chaotic good* angry,False,[],[],0,1,,en,recent,angry,tannies_tm,Mar神様 semi-hiatus| 📌 MLB SPOILERS,61,14706,9183
Mon Nov 11 15:38:25 +0000 2019,1193915894793146368,SO WERE ANGRY ANGRY https://t.co/Xs2ihM51dN,False,[],[],0,0,False,en,recent,angry,minagender,☆★#sar🥣,2494,24371,73909
Mon Nov 11 15:38:25 +0000 2019,1193915893039935490,"Just had someone refer to ""goosebumps"" as ""ghostbumps"" right in front of me and I've never been so angry.",False,[],[],0,2,,en,recent,angry,BowlOfHotSick,Clayton Richardson,50,5980,497
Sun Nov 10 06:49:25 +0000 2019,1193420379752189952,Wah.... but make it angry,False,[],[],0,0,,en,recent,angry,notnana1,A 🤡,52,7511,2066
Sun Nov 10 06:49:16 +0000 2019,1193420339738529792,"I am Burt Wuertenberg, Hear my varicous angry  roar! (Meow!) I'm gentle as a pussycat, Lucy's not gentle! https://t.co/Y7WcpF3BtB",False,[],[],0,0,True,en,recent,angry,Burtw07031968,Burt Wuertenberg 🦄🦄🦄🦄🦄🦄 🦄🦄 🦄🦄 🦄🦄 🦄,256,238,32085
Sun Nov 10 06:49:12 +0000 2019,1193420321816293376,Venting doesnt even work i just get angry all over again 😾,False,[],[],0,0,,en,recent,angry,salssxoxo,SALMA,314,209,337
Sun Nov 10 06:49:04 +0000 2019,1193420292040876037,Bro i cannot see shit like this I get angry . https://t.co/ycwLxnGvde,False,[],[],0,1,False,en,recent,angry,unforgettableA_,princess A.,144,1816,5699
Sun Nov 10 06:49:00 +0000 2019,1193420274286256129,"One of my formative experiences was, on the upper deck of a ship steaming towards Sweden, speaking to a young man i… https://t.co/Tu2tr00kwL",True,[],[],0,0,False,en,recent,angry,kltblom,Kristian Blom,975,18981,42599
Sun Nov 10 06:48:46 +0000 2019,1193420213812944896,"Also, with how aggressive and angry men get when they get turned down or left..it is absolutely DISGUSTING",False,[],[],1,2,,en,recent,angry,ItsJaylin_xO,Jay,1423,4361,53129
Sun Nov 10 06:48:38 +0000 2019,1193420180107317248,it's making me angry that a lot of workers got arrested for fighting for their rights in terms of their work hours… https://t.co/dyxVTIVVK6,True,[],[],2,5,,en,recent,angry,edlyncjl,𝓽𝓸𝓴𝔂𝓸,917,38744,31568
Sun Nov 10 06:48:22 +0000 2019,1193420113719939073,&lt;insert angry tweet implying that my vote alone has any influence over the outcome of an election&gt; https://t.co/EBCtkjDzww,False,[],[],2,23,False,en,recent,angry,MChandlerMather,Max Chandler-Mather,902,7440,980
Sun Nov 10 06:48:20 +0000 2019,1193420104765255680,"I don't know about y'all, but I'm feeling encouraged by this new class of all the hard questions well journalists.… https://t.co/AvXv7WAx9P",True,[],[],3,13,False,en,recent,angry,justthisguy,Just This Guy,3025,91090,81677
Sun Nov 10 06:48:19 +0000 2019,1193420099580903426,"Every citizen is happy, only anti India people are shocked, and some Pakistan supporter and angry in judgement #LessonsOfAyodhya",False,"[{'text': 'LessonsOfAyodhya', 'indices': [111, 128]}]",[],0,1,,en,recent,angry,rockyviv,Vivek,60,8497,2558
Sun Nov 10 06:48:15 +0000 2019,1193420085114888192,"BE YE ANGRY, 
and SIN NOT:
let not the sun go down upon your wrath... 
Eph 4:26",False,[],[],5,12,,en,recent,angry,_AndreasHuebner,Andreas Huebner,3826,8583,22688
Sun Nov 10 06:48:11 +0000 2019,1193420065770635267,AllAboutYoonSic if I were thinking like you maybe I would be angry all the time bcs many are copying my tweets!,False,[],[],0,0,,en,recent,angry,myohmyot9,내일,26,0,16602
Sun Nov 10 06:48:08 +0000 2019,1193420056912371713,"""Angry furries are freaking terrifying"" - CatsBecauaseYeah 2019

Hes so right",False,[],[],0,2,,en,recent,angry,EktoHunter,Ekto,348,7995,4534
Sun Nov 10 06:48:06 +0000 2019,1193420045793275904,IM SO GENUINELY ANGRY THAT LOGAN PAUL LOST AAAAAAAGGHHHH I AM ANGRY I LOVE LOGAN PAUL AAAAAAAAGGH,False,[],[],0,0,,en,recent,angry,SlLXNT,SILXNT,78,2679,3929
