timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sun Nov 10 04:31:19 +0000 2019,1193385622410539009,"Jeremy Pruitt on UK goalline stand

""I'd have been very disappointed if we didn't stop them. They weren't going to… https://t.co/efTRsM5uug",True,[],[],101,1475,,en,popular,disappointed,MichaelWBratton,SEC Mike,18923,14511,36446
Sun Nov 10 00:52:14 +0000 2019,1193330489697783808,"Cindy McCain tells CNN her late husband, Sen. John McCain, would be ""disgusted"" by the current political climate an… https://t.co/pYEcRyKccA",True,[],[],120,469,False,en,popular,disappointed,axios,Axios,306246,491,57980
Sun Nov 10 21:58:37 +0000 2019,1193649186929029122,"Are you disappointed with the scoring of the top players?
Jim Montgomery: “Very disappointed.”
Are you seeing signs… https://t.co/PrudW8CPJL",True,[],[],69,360,,en,popular,disappointed,MDeFranks,Matthew DeFranks,7457,734,16655
Mon Nov 11 05:18:28 +0000 2019,1193759876645675008,i’ve listened to leak kinda disappointed in myself ig..🥴,False,[],[],0,0,,en,recent,disappointed,oshdeux,aüdy,697,685,1449
Mon Nov 11 05:18:22 +0000 2019,1193759853333766146,so disappointed,False,[],[],0,0,,en,recent,disappointed,maia_arden,maia,433,49484,26405
Mon Nov 11 05:18:09 +0000 2019,1193759798019416071,Disappointed but not surprised https://t.co/oMUDP8W57y,False,[],[],0,0,False,en,recent,disappointed,waideweik,𝐑𝐞𝐧𝐞's zucchini 🐳,140,2504,26268
Mon Nov 11 05:17:46 +0000 2019,1193759701785169920,What was and is still being covered up about Russian 💰💰💰and the republicans??  I’m disappointed with Haley. Thought… https://t.co/Q0Im8QxwfN,True,[],[],0,0,True,en,recent,disappointed,JBena66,JB,171,5712,2130
Mon Nov 11 05:17:27 +0000 2019,1193759622940618754,"My Mcwing today so soggy..
I am; disappointed 
#WeSupportWonho 
#모든_것을_이겨라",False,"[{'text': 'WeSupportWonho', 'indices': [47, 62]}, {'text': '모든_것을_이겨라', 'indices': [64, 74]}]",[],1,1,,en,recent,disappointed,moeckyun,eri♡,312,5678,13064
Mon Nov 11 05:17:27 +0000 2019,1193759620906524677,Disappointed that nobody bought me any singles day presents... https://t.co/1EuYC83hj8,False,[],[],0,0,False,en,recent,disappointed,danicp,Dan,224,1130,8017
Mon Nov 11 05:17:16 +0000 2019,1193759574257307648,Lakers def disappointed tonight,False,[],[],0,0,,en,recent,disappointed,_dianemonte,QUEEN D,76,2982,1945
Mon Nov 11 05:16:46 +0000 2019,1193759449699110913,So disappointed in myself.. this is why I can never pursue music as a career because the lows are so discouraging 😞,False,[],[],0,0,,en,recent,disappointed,rommuscle,Rommel Angelia,365,2127,6522
Mon Nov 11 05:16:27 +0000 2019,1193759371479670791,"to the 6 who voted sleep i love you
as for the person chose go i just want u to know im disappointed in u https://t.co/QthefJ9P7J",False,[],[],0,0,False,en,recent,disappointed,redhf_,🦇,194,54157,22573
Mon Nov 11 05:16:25 +0000 2019,1193759362193354754,"They're (bp) talented, we get it. But this award was fan voted. This is really messed up. We're disappointed. https://t.co/I9LecmBkbs",False,[],[],0,0,False,en,recent,disappointed,aestaeticc_,정국 Daddy 보라해 💜,248,2475,2756
Mon Nov 11 05:16:18 +0000 2019,1193759331268923392,the fact we still dont have a qon epub is fucking sick the russians have disappointed me once again,False,[],[],0,0,,en,recent,disappointed,IiIyshale,annie,87,8633,8406
Mon Nov 11 05:16:15 +0000 2019,1193759320414048256,When they said that they will choke the fuck out of you but the only thing you’re choking on is their cologne...dis… https://t.co/dRT1q0fiZn,True,[],[],0,0,,en,recent,disappointed,taylorlynn33,Taylor Lynn,418,10508,21960
Sun Nov 10 00:52:11 +0000 2019,1193330476246687744,"Dantonio: ""Extremely disappointed. Nobody's more disappointed than our players and our coaches.""",False,[],[],1,12,,en,recent,disappointed,colton_pouncy,Colton Pouncy,6290,3472,8791
Sun Nov 10 00:51:52 +0000 2019,1193330396446023680,"Nice to remember that after that night, in the morning when I got home I took about 10 different pills, at the show… https://t.co/DqlY3DFRBV",True,[],[],0,0,,en,recent,disappointed,taezentii,✨김 ELLA 🌙✨,1754,8780,13271
Sun Nov 10 00:51:18 +0000 2019,1193330257157222400,disappointed but not surprised,False,[],[],0,0,,en,recent,disappointed,clickbvits,dani (but festive 🎅🏼🎄🦃),2044,30055,49080
Sun Nov 10 00:51:10 +0000 2019,1193330220914352134,I was going for the all black Tacoma like Marty McFly's Toyota but I'm not disappointed. https://t.co/cUAe8hS9ol,False,[],[],0,0,False,en,recent,disappointed,saml23,Samuel Paul,81,4031,7230
Sun Nov 10 00:51:05 +0000 2019,1193330202153062400,I'm not mad at you. I'm just disappointed.,False,[],[],0,0,,en,recent,disappointed,gOdahketu,Daniaaaa,1,11,6
Sun Nov 10 00:51:04 +0000 2019,1193330195706593281,✠ More disappointed Senpai noise. https://t.co/UfaVXJnzV8,False,[],[],0,0,False,en,recent,disappointed,AlteredBlade,𝓐𝓻𝓽𝓸𝓻𝓲𝓪 𝓟𝓮𝓷𝓭𝓻𝓪𝓰𝓸𝓷,1584,2691,13365
Sun Nov 10 00:50:55 +0000 2019,1193330159862108161,Armin - not entirely sure if this message gets to you but I’m extremely disappointed that ferry Corsten will not be… https://t.co/FsVeFKgBX7,True,[],[],0,0,False,en,recent,disappointed,ScottMckay19,Scott Mckay,164,2771,1562
Sun Nov 10 00:50:51 +0000 2019,1193330140455014400,i know shorty disappointed,False,[],[],0,0,,en,recent,disappointed,wrecker891,Drug War Veteran,517,900,76359
Sun Nov 10 00:50:19 +0000 2019,1193330008007286785,I am 31 years old and I have not encountered quicksand. Disappointed.,False,[],[],0,1,,en,recent,disappointed,dadlikesleather,Peadar B,412,663,13441
Sun Nov 10 00:50:12 +0000 2019,1193329979314049025,Very disappointed with that chicken sandwich from Popeyes. Chick fil a is WAYYYYYY better no debate,False,[],[],3,0,,en,recent,disappointed,speakingofdarby,andimamirah,1363,26506,29562
Sun Nov 10 00:49:55 +0000 2019,1193329908308725760,"i though Bama was trending for Obama
i’m disappointed now",False,[],[],0,0,,en,recent,disappointed,SaintPupko,saintzee,4,1973,321
Sun Nov 10 00:49:53 +0000 2019,1193329900393918464,The only virgo I was friends with really disappointed me,False,[],[],0,0,,en,recent,disappointed,Lumpiana,Mark (͡° ͜ʖ ͡°),180,2046,20890
Sun Nov 10 00:49:52 +0000 2019,1193329895276826624,aftermovie never failed to disappointed us in any possible way 🙃🙃🙃🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡,False,[],[],0,0,,en,recent,disappointed,hwnghjs,ㅏ ✨,378,1829,2697
Sun Nov 10 00:49:48 +0000 2019,1193329879623852032,kinda disappointed rn,False,[],[],0,9,,en,recent,disappointed,ShadeFNBR,Shde [1.6K] 🔌,1669,1207,141
Sun Nov 10 00:49:44 +0000 2019,1193329860585906176,Disappointed in myself for not thinking of this with my kids https://t.co/xTQaD8ifez,False,[],[],0,0,False,en,recent,disappointed,answersfrommen,Sweet Jones,388,26076,21935
Sun Nov 10 00:49:34 +0000 2019,1193329819712458752,wow I’m disappointed,False,[],[],1,1,,en,recent,disappointed,lexifox_,lex 🦋,279,23867,13956
Sun Nov 10 00:49:23 +0000 2019,1193329774166458371,i don’t want to start a war but i’m very slightly disappointed in CDTH :/,False,[],[],0,0,,en,recent,disappointed,swampwitcc,🔮Eva🕷,13,15,20
Sun Nov 10 00:48:59 +0000 2019,1193329674216189958,I’m disappointed in myself,False,[],[],0,0,,en,recent,disappointed,HeyyCyci,Slim Ting✨,880,1857,25065
Sun Nov 10 00:48:58 +0000 2019,1193329669149347840,"""You said you're disappointed with them and now you're underestimate yourself. Rather than you they're WAY STRONGER!"" -Kagami Taiga",False,[],[],0,0,,en,recent,disappointed,AnimeCrew_,Anime,318,0,96850
