timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sun Nov 10 15:18:37 +0000 2019,1193548523121324032,You ever wake up and even though things aren’t perfect you just feel grateful? That’s the kind of day I’m having.,False,[],[],753,2031,,en,popular,grateful,MysticxLipstick,Danielle Ayoka,86372,85452,155479
Mon Nov 11 13:48:30 +0000 2019,1193888229797376000,"I have said this before and it bears repeating, President Trump doesn’t cause people to lose their character, he re… https://t.co/3QPkLjOIJX",True,[],[],2102,8441,,en,popular,grateful,matthewjdowd,Matthew Dowd,160614,9540,132920
Mon Nov 11 07:33:47 +0000 2019,1193793930925621250,Week of 11/10 in Libra: You can be very certain that what you wanted is here. Take some time to be grateful about e… https://t.co/u9GnlenAZt,True,[],[],954,3221,,en,popular,grateful,poetastrologers,Astro Poets,538546,2792,7418
Mon Nov 11 15:55:11 +0000 2019,1193920113143156737,Today is Veterans Day and Canadian Remembrance Day. Pi Kappa Alpha is grateful for the men and women who have selfl… https://t.co/tDZSbHfzMJ,True,[],[],0,0,,en,recent,grateful,PiKappaAlpha,Pi Kappa Alpha,17703,5454,7302
Mon Nov 11 15:55:09 +0000 2019,1193920104196689925,Thank you to all our Veterans for your service! We are forever grateful for your bravery and courage!,False,[],[],0,0,,en,recent,grateful,beckydavis929,FitTastic Mom,96,21,13497
Mon Nov 11 15:55:08 +0000 2019,1193920100174192640,I'm grateful to the new head of Counseling's husband for sending flowers that came to me.  Now when I get emails te… https://t.co/jfMuuhN2JH,True,[],[],0,0,,en,recent,grateful,geonz,Cognitively_Accessible_Math,923,18295,24991
Mon Nov 11 15:55:04 +0000 2019,1193920084433100800,In Honor of Veteran's Day here are a few ways to show your appreciation for a Veteran &amp; their family all through th… https://t.co/PKdLYF7ra9,True,[],[],0,0,False,en,recent,grateful,dpendernwahomes,Darohnn Pender,376,2249,2433
Mon Nov 11 15:55:03 +0000 2019,1193920077713887232,"On this Veterans Day, take a moment to think about all those who have honorably served our country in the military.… https://t.co/b9PR1hNpBp",True,[],[],0,0,,en,recent,grateful,dwright100,David Wright - Don't be vapid!,1969,641,1037
Mon Nov 11 15:55:00 +0000 2019,1193920067689439232,"I’ve so grateful for my talent and conquering my craft, my brand. And the heart I have 🙏🏿",False,[],[],0,0,,en,recent,grateful,CapsOnTheB,Caps,1861,21882,45201
Mon Nov 11 15:54:59 +0000 2019,1193920064128536577,"✨ MORNING GRATITUDE ✨

• family
• life 
• information 

Don’t forget to write down a few things you’re grateful for today 🖤",False,[],[],0,0,,en,recent,grateful,symonenicole___,symone 🤷🏽‍♀️,1751,6170,9768
Mon Nov 11 15:54:59 +0000 2019,1193920060701728768,"I'm thankful for:
- Tea that warms my tummy
- Toddlers that warm my heart
- Turtlenecks that warm my head 

What ar… https://t.co/brLClpncSw",True,[],[],0,0,,en,recent,grateful,HSDeurloo,Hannah Deurloo,2471,19875,7093
Mon Nov 11 15:54:56 +0000 2019,1193920047984435200,I’m grateful for today. I am grateful to love wholeheartedly and to be loved in return. I am grateful to forgive an… https://t.co/JC32dApbLM,True,[],[],0,0,,en,recent,grateful,Chelle_Dance94,Chelle 🌷🇿🇼,389,19472,34756
Mon Nov 11 15:54:55 +0000 2019,1193920046256529409,We are grateful to all veterans for their service. Thank you! https://t.co/rk5HAh1QJu,False,[],[],0,0,False,en,recent,grateful,naturalinquirer,natural inquirer,1989,37115,13910
Mon Nov 11 15:54:43 +0000 2019,1193919993966190596,"Gratitude Day 11: I am so grateful for my friends. 

Most of you know that I was rejected out of my family for bein… https://t.co/JaN113uQX4",True,[],[],0,0,False,en,recent,grateful,CymberLilyHarp,Cymber,646,10,8191
Mon Nov 11 15:54:40 +0000 2019,1193919984336089088,My world has gone to shit in the last week. I am so so grateful for my friends. Without them I'd be so lost,False,[],[],0,0,,en,recent,grateful,abbiepowell1,abbie,533,1822,11874
Sun Nov 10 15:18:36 +0000 2019,1193548519052693504,Today was exhausting but it was a great day. I’m always grateful for every day. Alhamdulillah. ✨,False,[],[],0,3,,en,recent,grateful,sittieshairaaa,🌙,346,11093,8525
Sun Nov 10 15:18:30 +0000 2019,1193548495166361601,"Day 4
I’m grateful for hope, that I can still dream and that one day I’ll achieve all I have set out to do.
#30daysgratefulness",False,"[{'text': '30daysgratefulness', 'indices': [108, 127]}]",[],0,0,,en,recent,grateful,ri_aaah,Onyinye,2094,2219,32861
Sun Nov 10 15:18:30 +0000 2019,1193548492058374144,FOREVER GRATEFUL ..... https://t.co/ptG895xmvN,False,[],[],0,0,False,en,recent,grateful,seulrry,NamSeoKook Divorce Selfie,2,6469,6202
Sun Nov 10 15:18:26 +0000 2019,1193548475587153920,Be grateful for everything you have received in your life. Good and bad it's all brought you to Jesus!,False,[],[],0,0,,en,recent,grateful,trowabooms,simply dhessy,115,48,31797
Sun Nov 10 15:18:23 +0000 2019,1193548465554542592,"TODAY IS THE LAST DAY FOR 50% OFF!!! 
take advantage of my biggest sale yet with code “GRATEFUL” 🥰
https://t.co/uvpsOj1XUf",False,[],[],27,21,False,en,recent,grateful,aiyahxo,buff barbie bitch,781,39807,35553
