timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sat Nov 09 12:36:39 +0000 2019,1193145374359330816,Utter absurdity calling removal from office “the death penalty.” Losing a job should never be compared to State tak… https://t.co/6vs1SGGDR3,True,[],[],3671,13677,False,en,popular,gross,mayawiley,Maya Wiley,201547,14635,28703
Sun Nov 10 05:23:16 +0000 2019,1193398699700801536,"#Bigil record smashing rampage in #Malaysia 🇲🇾 💥..

It's the all-time No.3 Indian grosser after #Dilwale and… https://t.co/w1eczIP4wk",True,"[{'text': 'Bigil', 'indices': [0, 6]}, {'text': 'Malaysia', 'indices': [34, 43]}, {'text': 'Dilwale', 'indices': [96, 104]}]",[],1740,5921,,en,popular,gross,LMKMovieManiac,Kaushik LM,280369,47751,90257
Sun Nov 10 04:24:53 +0000 2019,1193384004763832320,"With good numbers yday, #Bigil storms into the 12 CR gross club in Chennai city 👌

16-days total city gross is 12.21 CR 👍",False,"[{'text': 'Bigil', 'indices': [24, 30]}]",[],1310,5513,,en,popular,gross,LMKMovieManiac,Kaushik LM,280369,47751,90257
Mon Nov 11 03:43:06 +0000 2019,1193735879547858944,I ate gross food n feeling like throwing up 😷,False,[],[],0,0,,en,recent,gross,lexdan98,LEX ✨,216,13351,6709
Mon Nov 11 03:42:39 +0000 2019,1193735766796591105,Fuck that gross ass shit https://t.co/wwJgRFmLqR,False,[],[],0,1,False,en,recent,gross,NateFlackoG,NateNasty,128,1682,2526
Mon Nov 11 03:42:26 +0000 2019,1193735708227383298,i am aware this is gross but 2day i had enough mental strength to take a shower and i am proud of myself,False,[],[],0,0,,en,recent,gross,sandratheplug,👽🛸,14,1229,914
Mon Nov 11 03:42:21 +0000 2019,1193735687608164354,That was a gross play call to end the third quarter.,False,[],[],9,51,,en,recent,gross,rjochoa,RJ Ochoa,18743,26273,156510
Mon Nov 11 03:42:19 +0000 2019,1193735678816747522,I have never lived with someone who is this gross. No question about it. 🤢🤮,False,[],[],0,0,,en,recent,gross,ConcettaStewa12,Concetta Stewart,143,470,327
Mon Nov 11 03:42:04 +0000 2019,1193735619387768832,Downgraded to the max😂😂😭😭 i shoulda been left cause that shit just gross💀💀😭,False,[],[],0,0,,en,recent,gross,StouteAustin,austin.stoute,73,25,472
Mon Nov 11 03:42:04 +0000 2019,1193735617710047233,Gross. https://t.co/Jdhr7iFETQ,False,[],[],0,0,False,en,recent,gross,entity,entity,772,10295,8811
Mon Nov 11 03:42:00 +0000 2019,1193735601696034816,"#Bigil 17 Days Worldwide Gross:

TN - ₹144 cr+
Rest of India - ₹66 cr+
Overseas - ₹90 cr+ (approx; $12.6mn)

Total… https://t.co/ii2h5bfP9U",True,"[{'text': 'Bigil', 'indices': [0, 6]}]",[],0,1,,en,recent,gross,Thanes888,🔥🇲🇾தனேஸ் தளபதி ரசிகன் (2)🇲🇾🔥,1687,8637,9592
Mon Nov 11 03:41:56 +0000 2019,1193735583035797510,It’s gross https://t.co/2c3oBpICkQ,False,[],[],0,0,False,en,recent,gross,missalyssa__,aly,2070,31938,35873
Mon Nov 11 03:41:33 +0000 2019,1193735489066455040,Over 16days of Successful Run in Theaters Worldwide. Our #BIGIL Reaches 300Cr Gross. TN Alone Above 145Crs+.. 2nd K… https://t.co/h3bfIbDQ08,True,"[{'text': 'BIGIL', 'indices': [57, 63]}]",[],0,1,,en,recent,gross,janar1923,M҉r҉.҉ ҉D҉o҉p҉e҉ 💥🤺,524,17860,3646
Mon Nov 11 03:41:22 +0000 2019,1193735441318465536,Gross 395 Cr  🔥 https://t.co/QECkkXmLMe,False,[],[],0,0,False,en,recent,gross,SrinukOffl,Nikhil Fan Boy - Srinu,1121,45647,4986
Mon Nov 11 03:41:15 +0000 2019,1193735410393985024,lol ew yikes gross,False,[],[],0,0,,en,recent,gross,nyimanii_,ny ♡,1337,37671,9807
Sat Nov 09 12:34:10 +0000 2019,1193144751215857669,"Wow what a scummy piece of trash you are ,sitting on that gross disgusting piece of shits lap.Way to get those head… https://t.co/pJjbfGiLiG",True,[],[],0,0,,en,recent,gross,WitkowskiStan,Hardspun,2,11,138
Sat Nov 09 12:33:41 +0000 2019,1193144626158292993,"i cringe at my tweets when harry’s online they’re so,,,,, gross like i’m such a desperate whore for his notice we",False,[],[],0,3,,en,recent,gross,fineIinerecords,harry’s back muscles | 32 DAYS!!,1510,17353,8256
Sat Nov 09 12:33:38 +0000 2019,1193144614888312832,"My coworkers do everything with their gloves still on -- wipe their face, touch their phone, blow their nose. Like,… https://t.co/QmeyGCL2Y1",True,[],[],0,0,,en,recent,gross,ashmo_ceo,Grandma Miami.,458,7084,51826
Sat Nov 09 12:33:29 +0000 2019,1193144576665669632,Fuck black magic. This is just gross. Tf! https://t.co/cfqDMgQNRS,False,[],[],0,0,False,en,recent,gross,Enginerd_retard,Yoruba Ninja,730,682,40346
Sat Nov 09 12:33:27 +0000 2019,1193144568532877312,this is what they should be using that gross living dead cgi technology on https://t.co/pSSRhoSjXc,False,[],[],0,1,False,en,recent,gross,kurtrusselI,📼 ᴏꜱᴄᴀʀ 📼,236,10470,2755
