timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sun Nov 10 16:47:43 +0000 2019,1193570945811779585,oh my god. my favorite body of work. she is rising from the dead ! thank u new listeners of christmas n chill and h… https://t.co/DbApsKAkmW,True,[],[],9071,94860,False,en,popular,happy,ArianaGrande,Ariana Grande,67229607,41124,45118
Sun Nov 10 20:49:22 +0000 2019,1193631756810780672,It’s sad that people would rather create drama and toxicity over absolutely nothing. It’s not that deep. Live in a… https://t.co/ipimT3F7AE,True,[],[],12911,61082,,en,popular,happy,khloekardashian,Khloé,27572587,371,61834
Mon Nov 11 13:42:32 +0000 2019,1193886728790171649,HAPPY VETERANS DAY!,False,[],[],14392,69379,,en,popular,happy,realDonaldTrump,Donald J. Trump,66720437,6,46012
Mon Nov 11 15:39:35 +0000 2019,1193916187442204673,happy Veteran’s Day! 🇺🇸✨,False,[],[],0,0,,en,recent,happy,alexaa_speed,𝔞𝔩𝔢𝔵𝔞,332,38,4187
Mon Nov 11 15:39:34 +0000 2019,1193916184661499904,Happy Veterans Day to all my brothers and sisters,False,[],[],0,0,,en,recent,happy,Missin_Delta,Freckles,261,1031,6265
Mon Nov 11 15:39:34 +0000 2019,1193916183671492608,Do you know what’s the hardest thing? To end what makes you happy.,False,[],[],0,0,,en,recent,happy,yukkkihannna,Yuki,11401,20439,2049
Mon Nov 11 15:39:34 +0000 2019,1193916183206076421,What did the older boy do?   All I saw was he didn't want to hug.    At least they weren't all on cell phones 24/7… https://t.co/CluPE1uuwF,True,[],[],0,0,False,en,recent,happy,VazquezPam,Pam Vazquez,226,2521,25839
Mon Nov 11 15:39:34 +0000 2019,1193916181348061184,i really couldn't care less what hairstyle/haircolor singnie chooses bc as long as she's happy with it i'm the happiest,False,[],[],0,0,,en,recent,happy,siyoonist,nico 🦇💖🐺,781,31682,12537
Mon Nov 11 15:39:33 +0000 2019,1193916180223774721,"This is the best feeling!
Seeing them both so happy and overwhelmed!
So totally deserving! 🤧❤❤
#YehUnDinonKiBaatHai https://t.co/CLpWHxdzCu",False,"[{'text': 'YehUnDinonKiBaatHai', 'indices': [95, 115]}]",[],0,0,False,en,recent,happy,naan_jaan,Janani,969,75377,53138
Mon Nov 11 15:39:33 +0000 2019,1193916177208115202,Bub updated and I’m happy https://t.co/CFnUXsCqlX,False,[],[],0,0,False,en,recent,happy,bunnyin1997,Justin : 📚 surviving uni,567,10558,3027
Mon Nov 11 15:39:33 +0000 2019,1193916176927211520,Happy Veterans Day to all the Veterans !!!,False,[],[],0,0,,en,recent,happy,EverybodyluvsEb,Love J-Skyy,438,527,12785
Mon Nov 11 15:39:32 +0000 2019,1193916175144632323,Happy Veteran’s Day everyone! 🇺🇸,False,[],[],0,0,,en,recent,happy,MVP_SportsPicks,MVP Picks,1137,513,3977
Mon Nov 11 15:39:32 +0000 2019,1193916175035568129,Happy Heavenly Birthday PopPop love an miss you 😘,False,[],[],0,0,,en,recent,happy,Ronellraquel,Nell💕😘,478,1206,1588
Mon Nov 11 15:39:32 +0000 2019,1193916175014481920,Happy Veterans Day. Salute to the men n woman who make a way for this country. https://t.co/Ik4Hn0DIcp,False,[],[],0,0,True,en,recent,happy,BigRobxg,Rob Hubbard,187,372,3346
Mon Nov 11 15:39:32 +0000 2019,1193916172313468928,an hour ago i was so so happy. i felt so great. but now i’m back to sitting in my room in tears feeling like shit.… https://t.co/rQRb2uLFL9,True,[],[],0,0,,en,recent,happy,courtwrestling,courtney,3724,105812,65144
Sun Nov 10 16:47:43 +0000 2019,1193570944347987969,"lets see how much i’ve changed!

the year i was given: 2017
age: 17
now: 19
relationship status: taken sometimes
no… https://t.co/kuFcMvAWdW",True,[],[],0,1,,en,recent,happy,junk7bob,🤍 clara 🤍,693,58372,147927
Sun Nov 10 16:47:42 +0000 2019,1193570939839172609,I am happy for Nathi though. Those 2 were really suffocating each other. Black coffee belongs to the world not to 1… https://t.co/Cc6wHPe6dW,True,[],[],0,0,,en,recent,happy,snadzz,Kumkani,615,188,40187
Sun Nov 10 16:47:41 +0000 2019,1193570937305796608,"THIS ACTUALLY HAPPENING!!! I AM SO HAPPY FOR CICI!!!

Win or lose, just being healthy enough to play in an official… https://t.co/dcyXjO8ow8",True,[],[],0,3,False,en,recent,happy,PhilipTBoosey,Philip T Boosey,60,94060,27733
Sun Nov 10 16:47:40 +0000 2019,1193570934357016576,i am so happy. tyL!,False,[],[],0,0,,en,recent,happy,itsmeruthyyyyy,r,218,5758,5859
Sun Nov 10 16:47:40 +0000 2019,1193570933690314753,Happy Birthday my nigga 😎 https://t.co/FuYW0L5pGC,False,[],[],1,1,False,en,recent,happy,_brylannnn,Thankful Bry,1317,21560,60757
Sun Nov 10 16:47:40 +0000 2019,1193570933497200642,9months has passed and i’m fine with it .. yes there is sudden breakdown through out this 9months but i’m happy with what i have rn😌,False,[],[],0,0,,en,recent,happy,atiqahfarid,𝙖𝙩𝙞𝙦𝙖𝙝🦁,197,6302,7459
Sun Nov 10 16:47:39 +0000 2019,1193570929109917696,"learn to love yourself first, you'll be happy",False,[],[],4,8,,en,recent,happy,xadninabdhalimx,ninthenintendooo,770,20909,25556
