timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sat Nov 09 17:33:30 +0000 2019,1193220079908982784,They Hate What They Can’t Understand,False,[],[],21916,41452,,en,popular,hate,KodakBlack1k,Kodak Black,2899887,2207,17437
Sat Nov 09 15:33:16 +0000 2019,1193189822325821440,"I hate when people say I look high. I don't ""look"" high. I ""am"" high. GET IT RIGHT",False,[],[],7764,46921,,en,popular,hate,quintabrunson,quinta brunson,435333,41553,391
Sun Nov 10 23:49:46 +0000 2019,1193677159262572544,"the media: some guy popping an inanimate balloon is a ""knifing,""  but a mob of masked thugs clobbering someone is ""fighting against hate.""",False,[],[],4621,13130,,en,popular,hate,greggutfeld,GregGutfeld,1278168,5939,25234
Mon Nov 11 04:30:51 +0000 2019,1193747894236598272,I have the biggest urge to play #DeathStranding even though I know I’m gonna hate it and I don’t know what to do.,False,"[{'text': 'DeathStranding', 'indices': [32, 47]}]",[],0,0,,en,recent,hate,TylersNewGroove,Tyler Robertson,449,61452,8470
Mon Nov 11 04:30:51 +0000 2019,1193747893502517248,it was easier to cheat in hs than on my girl bro i hate it here,False,[],[],0,0,,en,recent,hate,marcprietoii,mArc,1076,45650,2407
Mon Nov 11 04:30:50 +0000 2019,1193747889853349890,I hate spending the night somewhere &amp; the cover stank 🙇🏽‍♀️,False,[],[],0,0,,en,recent,hate,Itsdiamond6,Diamond Owens,2768,14843,16679
Mon Nov 11 04:30:50 +0000 2019,1193747889601708033,i wanna cry i hate school sm,False,[],[],0,0,,en,recent,hate,hxnnxhglxss,hannah 5 days!!!,1045,40864,9035
Mon Nov 11 04:30:50 +0000 2019,1193747889463472129,"Every eagle fan just popped up on my TL raggedy, and I got time😭😭😭😭😭😭😭 they hate us bitch I hate us right now too but who tf is y’all",False,[],[],0,0,,en,recent,hate,d0ll_x0ci,lania.,4445,10953,39459
Mon Nov 11 04:30:49 +0000 2019,1193747887634747392,i hate when i get inna bitch live n say sum n she act like sheon see it like well bitch fuck you too den😂🖕🏻,False,[],[],0,0,,en,recent,hate,Aarondadon24,Aaron 📿,58,182,331
Mon Nov 11 04:30:49 +0000 2019,1193747886569336833,Damn I hate snow man,False,[],[],0,0,,en,recent,hate,Saxton1998,RichGang,46,1702,679
Mon Nov 11 04:30:49 +0000 2019,1193747885214642177,I fucking hate this game. I hate these maps and I hate the fact I can’t get my money back,False,[],[],0,0,,en,recent,hate,JustJRTv,JR,391,4614,42472
Mon Nov 11 04:30:47 +0000 2019,1193747879623626753,Fuck I hate being a cowboys fan man😂,False,[],[],0,0,,en,recent,hate,JRuiz2444,Josh Ruiz,797,6829,20298
Mon Nov 11 04:30:47 +0000 2019,1193747878851862528,https://t.co/4T5ub7ub0W next week's hate fact,False,[],[],0,0,False,en,recent,hate,QuestionMThings,Thankful Question,6573,22436,60831
Mon Nov 11 04:30:47 +0000 2019,1193747877773946882,Get all the way into the red zone area and you take the ball out of Dak’s hands. I fucking HATE that shit for him.,False,[],[],0,0,,en,recent,hate,bigH_88,✭ Hiren ✭,606,17886,188141
Mon Nov 11 04:30:47 +0000 2019,1193747876498665473,"One of the saddest things is when two people get really to know each other; their secrets, their fears, their fav t… https://t.co/oM3SQIbAiB",True,[],[],0,0,,en,recent,hate,vianita_afifah,VIA NITA,827,373,16698
