timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sat Nov 09 18:52:21 +0000 2019,1193239922926178304,"I recommend that Nervous Nancy Pelosi (who backed up Schiff’s lie), Shifty Adam Schiff, Sleepy Joe Biden, the Whist… https://t.co/Cr0QMfQo3t",True,[],[],24368,89969,,en,popular,nervous,realDonaldTrump,Donald J. Trump,66709346,6,46004
Sun Nov 10 20:36:55 +0000 2019,1193628624303185920,Nervous my therapist thinks I talk too much about myself,False,[],[],163,2258,,en,popular,nervous,NickStopTalking,Nick Lehmann,83487,20641,2877
Sat Nov 09 21:12:32 +0000 2019,1193275198960816129,people who watch #TheGoodPlace: who else is nervous cuz we're on the last day of the experiment with seven more epi… https://t.co/sSVG4yYx02,True,"[{'text': 'TheGoodPlace', 'indices': [17, 30]}]",[],79,1166,,en,popular,nervous,crissles,employee of the bearimy,184919,8396,6635
Mon Nov 11 06:21:37 +0000 2019,1193775769065000960,"I need to sleep today, big day tomorrow. Kinda nervous, kinda excited. More exited than nervous. 😅😅✨ #1111 new beginnings 💫✨",False,[],[],0,0,,en,recent,nervous,curlyheadeddqt,🌻,5,66,267
Mon Nov 11 06:21:16 +0000 2019,1193775683261980673,THIS ‼️ she was already nervous ass fuck doing NPR with no audience! Please leave my good sis the fuck alone ! https://t.co/ho37BiRCfO,False,[],[],0,0,False,en,recent,nervous,teamxiaaab,XO🦋,852,4254,16460
Mon Nov 11 06:21:15 +0000 2019,1193775679621541888,I have to tell you that this project has me so nervous but I will put it out there because I want to learn from it.… https://t.co/pWWoxpsi3h,True,[],[],0,0,,en,recent,nervous,Uriyya,Andrew Alliance,1666,1940,77961
Mon Nov 11 06:21:09 +0000 2019,1193775654271107072,"4_nervous
17_alone
24_asala ...
29_my father 💙 https://t.co/6P66WyRr4f",False,[],[],1,1,False,en,recent,nervous,ElsaadaniSalma,Saloka 😌♡♡,429,3985,696
Mon Nov 11 06:21:02 +0000 2019,1193775624386760709,I hate that I have (NAGS) nervous around guys syndrome.,False,[],[],0,0,,en,recent,nervous,Maddy_talbot_,Maddy T,401,4179,3315
Mon Nov 11 06:20:53 +0000 2019,1193775587434717184,I’m happy and it’s making me nervous,False,[],[],0,0,,en,recent,nervous,shellyrae776,Rachel Noack,27,591,1772
Mon Nov 11 06:20:49 +0000 2019,1193775568266911744,"It's 6 am and this is the fifth time I wake up tonight. I'm fucking tired, I hate this. I'm so nervous",False,[],[],0,1,,en,recent,nervous,claudia_car21,Cláudia 🇵🇹,839,19442,24515
Mon Nov 11 06:20:43 +0000 2019,1193775541746167809,i still get nervous around you.,False,[],[],0,0,,en,recent,nervous,rainierabesamis,rain,242,2492,6508
Mon Nov 11 06:20:30 +0000 2019,1193775490336575488,i believe in and trust izone but i cant help but feel nervous for what may happen tomorrow :((( i want my babies safe,False,[],[],0,0,,en,recent,nervous,violetjuri,el ♥︎ daisy #BLOOMIZ,213,22025,4725
