timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sat Nov 09 14:22:11 +0000 2019,1193171934768447489,"God is our refuge and our strength,an ever-present help in distress. Thus we do not fear, though earth be shaken an… https://t.co/oh6EaozPyM",True,[],[],889,4650,,en,popular,rage,marcorubio,Marco Rubio,3991787,1634,12062
Sun Nov 10 01:21:08 +0000 2019,1193337762583326722,Chilean Catholic church looted by Antifa vandals as protests rage https://t.co/dlHWqcKPOG,False,[],[],263,265,False,en,popular,rage,JackPosobiec,Jack Posobiec 🇺🇸,573218,105579,114239
Sun Nov 10 09:40:37 +0000 2019,1193463461151432704,"Australia braces for catastrophic conditions as bushfires rage — PM Morrison, whose government has downplayed the t… https://t.co/Fqc3sShjQT",True,[],[],218,395,False,en,popular,rage,alfonslopeztena,Alfons López Tena #FBPE,157944,10087,137172
Mon Nov 11 04:46:15 +0000 2019,1193751771161780230,"PLT
LUV VS THE WORLD
LUV IS RAGE I
LUV IS RAGE II https://t.co/6pBIRZckxe",False,[],[],0,0,False,en,recent,rage,iamplvtto,11/17 ♏,137,7400,6277
Mon Nov 11 04:46:03 +0000 2019,1193751718946721792,believe that too much is being made of the sensational reports that Hano generates because snow fin lobster soup is… https://t.co/F4aVlWZ52o,True,[],[],0,0,,en,recent,rage,LarsHano,Lars Hanon,71,117,115796
Mon Nov 11 04:45:36 +0000 2019,1193751607483281408,Insomnia is all the rage with the cognoscenti. https://t.co/ENPvyR9kAB,False,[],[],0,0,False,en,recent,rage,GardenLarge,Duncan Brine,2596,1284,40699
Mon Nov 11 04:45:22 +0000 2019,1193751547093475328,everytime i see baek kyung in this drama.... the rage in my body just 🔥🔥🔥,False,[],[],0,0,,en,recent,rage,yerinsfeet,lin #blueflame,343,53653,76771
Mon Nov 11 04:45:12 +0000 2019,1193751504902950912,"Can big accounts please host a rage stream party?

(Omg the acoustic hits so hard)

https://t.co/c1WlEjfaCc",False,[],[],0,0,False,en,recent,rage,MinnieSalk,Moonie 🌙,494,100251,58429
Mon Nov 11 04:44:56 +0000 2019,1193751440369471489,The way im gonna rage if we dont get atLEAST /1/ gr4mmy nomination and idgaf what ppl say. Seriously my boys deserv… https://t.co/QMng90smwp,True,[],[],0,0,,en,recent,rage,moonchldwithluv,rita✨,239,140475,50258
Mon Nov 11 04:44:50 +0000 2019,1193751413672857600,When ur girl rage quits her first video game 😍,False,[],[],0,0,,en,recent,rage,EwLiver_Ryan,Oliver👨🏼,261,5229,5825
Mon Nov 11 04:44:05 +0000 2019,1193751225264685056,"Earlier, I was super-anxious about a certain situation, but then I got super-ragey about a different situation, and… https://t.co/25sVQD1Z8u",True,[],[],0,0,,en,recent,rage,CateIsMilesAway,Caitlin Johnson,88,79,651
Mon Nov 11 04:43:53 +0000 2019,1193751173288931329,"#ThePeopleChooseBTS , they did and we know it. Anything else is irrelevant. Let's divert that rage into making Bts… https://t.co/1o47pUqWyk",True,"[{'text': 'ThePeopleChooseBTS', 'indices': [0, 19]}]",[],1,2,,en,recent,rage,NgrownUpJustyet,not_grown_up_justyet,21,3776,599
Mon Nov 11 04:43:34 +0000 2019,1193751094444339206,"I feel like a lot of horror games are kind of running their course on what is ""scary"" (especially since zombie apoc… https://t.co/a1ZkzJncuc",True,[],[],0,4,,en,recent,rage,ibIistrigger,♡ Seren ♡,400,22780,37850
Mon Nov 11 04:43:21 +0000 2019,1193751042242088960,if it isnt OddFuture im going to rage,False,[],[],0,0,,en,recent,rage,__DarkGrimm115,Twitch | DarkGrimm115,21,765,1057
Mon Nov 11 04:43:19 +0000 2019,1193751033006018560,(I did. I've always felt he's the best fit for this job if he'd take it. But don't tell anybody. It ruins the rage… https://t.co/YL5hmKBSrb,True,[],[],0,4,False,en,recent,rage,timkawakami,Tim Kawakami,96316,37,160527
Sat Nov 09 14:22:09 +0000 2019,1193171922449776642,"As Hong Kong protests rage on, barristers hit back at Beijing’s comments on the city’s judiciary and its responsibi… https://t.co/P3JQdzXTnS",True,[],[],0,0,False,en,recent,rage,HongKong,Hong Kong News,1999,94,37333
Sat Nov 09 14:21:57 +0000 2019,1193171876140453888,god blessed with beauty and rage,False,[],[],0,0,,en,recent,rage,caiofelipho,Caio Burnquist,1159,8145,109256
Sat Nov 09 14:21:57 +0000 2019,1193171874391433218,So griftcons think the alt right masturbates in basements and leftists think no nut november fuels rage amongst alt… https://t.co/PkpBFJBK9w,True,[],[],7,20,,en,recent,rage,NightmarEclipse,Robert Rigel,2973,124865,98208
Sat Nov 09 14:21:34 +0000 2019,1193171776764858369,I'm so sad Alexander has other pressing matters to attend to. He has faith in his #ArtDaughter. Be sure to tune in… https://t.co/3B7PYZ7Jzn,True,"[{'text': 'ArtDaughter', 'indices': [82, 94]}]",[],0,2,False,en,recent,rage,Berzerker_Rage,Berzerker Rage ➡️ AcadeCon! 🎲,79,5717,1406
Sat Nov 09 14:21:33 +0000 2019,1193171773778530305,"https://t.co/DYBPXVVB8F - #Australia Fires are reminiscent of The #Amazon, #California now #Australia as '#Maradona… https://t.co/tjcUImV3Ku",True,"[{'text': 'Australia', 'indices': [26, 36]}, {'text': 'Amazon', 'indices': [66, 73]}, {'text': 'California', 'indices': [75, 86]}, {'text': 'Australia', 'indices': [91, 101]}, {'text': 'Maradona', 'indices': [106, 115]}]",[],0,0,False,en,recent,rage,Raphleta,Raphleta Taylor,26,296,8603
Sat Nov 09 14:20:13 +0000 2019,1193171439970480134,"Three people have died, four are missing and at least 150 homes have been destroyed as bushfires rage across easter… https://t.co/ewDBtBpTIu",True,[],[],0,8,False,en,recent,rage,thehimalayan,The Himalayan Times,86589,147,123961
Sat Nov 09 14:20:08 +0000 2019,1193171415425409025,YES. SHE'LL DEAD SOON. BET. YUSHIRO IN RAGE https://t.co/ozfpT31gup,False,[],[],0,0,False,en,recent,rage,liarsnm,cheolsa 🐰,55,4271,90208
Sat Nov 09 14:19:16 +0000 2019,1193171199477596160,Beautiful day to rage 🤘🏼,False,[],[],0,1,,en,recent,rage,bosshugo38,Hugo,381,9909,11706
