timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sun Nov 10 20:49:22 +0000 2019,1193631756810780672,It’s sad that people would rather create drama and toxicity over absolutely nothing. It’s not that deep. Live in a… https://t.co/ipimT3F7AE,True,[],[],10810,49756,,en,popular,sad,khloekardashian,Khloé,27571488,371,61834
Sun Nov 10 05:40:36 +0000 2019,1193403060170579968,I’m a Sad Girl,False,[],[],4060,9371,,en,popular,sad,daisymarquez_,Daisy Marquez,788209,34895,59061
Sat Nov 09 18:53:12 +0000 2019,1193240137586528256,U can’t be sad for too long cause then that means u choosing to be sad .,False,[],[],6482,20698,,en,popular,sad,Rico_nastyy,TACOBELLA,442294,19016,47186
Mon Nov 11 06:53:02 +0000 2019,1193783677207089152,"Sad and tired.
¿Lo pillaron?",False,[],[],0,0,,en,recent,sad,Humbug___,Ana🐷,940,44614,18489
Mon Nov 11 06:53:01 +0000 2019,1193783673713123328,i'm so sad :),False,[],[],0,0,,en,recent,sad,ddeongein,༘ 𝓳𝓮𝓸𝓷𝓰𝓲𝓷 ˚ #Astronaut,47,8,12621
Mon Nov 11 06:53:00 +0000 2019,1193783665882353665,"Sad to know that while my heart was breaking
You were sleeping normal, just vacant",False,[],[],0,0,,en,recent,sad,beanboysebas,sebas,32,229,134
Mon Nov 11 06:52:58 +0000 2019,1193783659314200576,"Locks self in room 
Alone                    And 
Sad 
For              Four
Days           Straight

Wants to see… https://t.co/Ob4IZMlKjQ",True,[],[],0,0,,en,recent,sad,cydcydsquidd,cydsquid,128,6878,1507
Mon Nov 11 06:52:57 +0000 2019,1193783656399147008,I used to do so much shopping when I was sad.,False,[],[],0,0,,en,recent,sad,Cazzol10,_Cazzol_,418,10445,6040
Mon Nov 11 06:52:57 +0000 2019,1193783653806956545,Sometimes u look at people's Twitter feeds and u realize and dumb and sad their life is 😂,False,[],[],0,0,,en,recent,sad,maxosborn375,maxosborn,30,26,45
Mon Nov 11 06:52:55 +0000 2019,1193783645963800577,🎶 On My Way 🎶 by Alan Walker (and others) mi na pameti kad sam down. Sad npr.,False,[],[],0,0,,en,recent,sad,jupiterovaa,Jupiterka ♃,1194,49075,19665
Mon Nov 11 06:52:54 +0000 2019,1193783641064820736,everyone's sad. stop or else,False,[],[],0,0,,en,recent,sad,hug4yjh,sophia says fuck jype,69,39175,2030
Mon Nov 11 06:52:53 +0000 2019,1193783638845992961,"I’ve become a clown and it’s just sad. I’ve chose findom over my job, my girlfriend, and even over God. It just sho… https://t.co/dJZVczvtJk",True,[],[],0,2,,en,recent,sad,BelieverWalking,Believer Walking ✝️,1095,8918,1927
Mon Nov 11 06:52:52 +0000 2019,1193783635687673857,"Crazy how people you’ve known for years can change so much in a matter of months. Honestly, it’s sad to see, especi… https://t.co/KhkVVy6wMh",True,[],[],0,0,,en,recent,sad,MeganKrolak,Megan Krolak,210,3562,1151
