timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sat Nov 09 12:52:49 +0000 2019,1193149442246860803,"Dear Christian: 

There is no war on Christmas. 

Nobody hates Christmas. 

Everybody wants you to be Merry.

Excep… https://t.co/r3le41VZV7",True,[],[],8990,37845,,en,popular,scared,ron_fournier,Ron Fournier,65146,65579,175031
Sat Nov 09 19:30:24 +0000 2019,1193249495980658689,Maybe i was scared https://t.co/4NF964dVxG,False,[],[],1143,3795,False,en,popular,scared,Oloni,CLAP BAQ QUEEN,143040,104435,179094
Sun Nov 10 14:30:07 +0000 2019,1193536318342672384,"For years, she feared discussing her immigration status. Now protected under DACA, she wants to share the experienc… https://t.co/y8xQWkGnXW",True,[],[],79,297,False,en,popular,scared,nytimes,The New York Times,44485271,18406,376975
Mon Nov 11 04:30:31 +0000 2019,1193747811868626945,2019 traumatized me so bad this tweet scared me for a sec https://t.co/o8OinbGNEX,False,[],[],0,0,False,en,recent,scared,5unbi,izoneluvr123 ✰,112,17847,5423
Mon Nov 11 04:30:29 +0000 2019,1193747801211052033,This tweet scared me I’m really so traumatized after this year https://t.co/ltRWbJjcqB,False,[],[],0,0,False,en,recent,scared,Wonhaed,Carolyn ⋈ #WeSupportWonho #모든_것을_이겨라 🏆🏆,2347,14344,41647
Mon Nov 11 04:30:26 +0000 2019,1193747789819367426,"She hurts all over.

And she can’t sleep— she’s scared.",False,[],[],0,0,,en,recent,scared,GingerxGraves,"𝐆𝐢𝐧𝐠𝐞𝐫 [undercon, s3 spoilers]",176,635,6762
Mon Nov 11 04:30:26 +0000 2019,1193747789345218560,that fucking article scared the shit out of me,False,[],[],0,0,,en,recent,scared,myluvjunho,kristine 🦋,290,12690,7981
Mon Nov 11 04:30:25 +0000 2019,1193747783510966272,Scared to kick it with ya homies cause you know they don’t respect ya,False,[],[],0,0,,en,recent,scared,misselisababy,misselisababy✨,183,19884,2001
Mon Nov 11 04:30:23 +0000 2019,1193747776389177344,I grew up scared of clowns but here I am being a WHOLE CLOWN 🤡,False,[],[],0,0,,en,recent,scared,anabarajas1_,Ana🤡,154,14720,2787
Mon Nov 11 04:30:17 +0000 2019,1193747750178959363,Scared I’m doing it wrong!!!!!!!,False,[],[],0,0,,en,recent,scared,AnnneSunshine,Yvonne,86,6334,984
Mon Nov 11 04:30:16 +0000 2019,1193747749725978625,"I just pulled in front your house inside that Mayback, yeah, yeah, cus if we lovers why we scared",False,[],[],0,0,,en,recent,scared,__OhJoedy,BO$$HOGG™,2478,7218,67843
Mon Nov 11 04:29:58 +0000 2019,1193747673729437696,Bitch treated this like it was beyond scared straight. That poor child. AINT no way to treat a kid idc what he did https://t.co/mREnJjlHZZ,False,[],[],0,0,False,en,recent,scared,cameliyuh,℃am,128,6512,1860
