timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sun Nov 10 02:30:33 +0000 2019,1193355234225065985,”Engineering padichuma ipdi kudichitu sutharinga? Adhunala than ipdi sutharom.” I had written in length for that sc… https://t.co/OKCFuvuYz8,True,[],[],365,2304,False,en,popular,surprised,DreamWarriorpic,DreamWarriorPictures,148403,11462,4181
Sat Nov 09 10:21:02 +0000 2019,1193111246737821696,Not all south. You would be surprised as to which district sent the largest number of kar sewaks to Ayodhya in 1992. https://t.co/18PlT3mkWL,False,[],[],677,2808,False,en,popular,surprised,nistula,Nistula Hebbar,115408,51961,198985
Sat Nov 09 13:02:15 +0000 2019,1193151815279357952,You would be surprised how much I don’t actually care lol,False,[],[],271,576,,en,popular,surprised,THEREALGHETTS,GHETTS,142123,1739,1830
Mon Nov 11 06:37:30 +0000 2019,1193779767905943555,Surprised she stood still long enough to hear the explanation from the Marine. https://t.co/s0NSR1CXxB,False,[],[],0,0,False,en,recent,surprised,FrankandFroogle,Un Known Wolverine,7560,1113,73717
Mon Nov 11 06:37:20 +0000 2019,1193779726315216896,#BettyWhiteProbably is surprised that she has outlived comedy itself.,False,"[{'text': 'BettyWhiteProbably', 'indices': [0, 19]}]",[],0,0,,en,recent,surprised,jonathantimar,Jonathan Timar,171,0,345
Mon Nov 11 06:37:16 +0000 2019,1193779707168403456,The Quality Individuals who Use that Website. Surprised its even still a thing. Prepubescent kids really must be ke… https://t.co/rPaxCnGuBX,True,[],[],0,0,False,en,recent,surprised,ImfamousWarrior,ImfamousWarrior,245,11744,14487
Mon Nov 11 06:37:00 +0000 2019,1193779640239738880,well armies are known for embarrasment so yeah don't be surprised https://t.co/lVJ0Ct6SXS,False,[],[],0,0,False,en,recent,surprised,Haruto_Treasure,🧸chloe_Watanabe💎,172,1055,4095
Mon Nov 11 06:36:59 +0000 2019,1193779636234342400,"For sale, creepy poop, innocently surprised.",False,[],[],0,0,,en,recent,surprised,RandomForSale,RandomForSale,15,0,7299
Mon Nov 11 06:36:51 +0000 2019,1193779604022054912,..... me watching some of the exols I follow agreeing with some shady blinks.... remember when we got robbed at mam… https://t.co/IMaqqffYQm,True,[],[],0,0,False,en,recent,surprised,Jongheekwan,j,120,13590,1356
Mon Nov 11 06:36:37 +0000 2019,1193779544857227264,I’m so used to my life being such a series of unfortunate events that whenever a bad thing happens again I’m not surprised in the slightest,False,[],[],0,0,,en,recent,surprised,champagnenetti,x,773,40289,24776
Mon Nov 11 06:36:31 +0000 2019,1193779519766892545,I really don’t know how Oscar is asleep when the Demon of a woman is snoring her head off! I’ll be VERY surprised if she can talk later 😑,False,[],[],0,0,,en,recent,surprised,Newbert92,Nick Newbert,154,280,961
Mon Nov 11 06:36:28 +0000 2019,1193779505367863296,"It's 2019.
It's Twenty-Freaking-NINETEEN, people, almost TWENTY-TWENTY.

The fact that this mess not only is still… https://t.co/lHZqCzYXzm",True,[],[],0,0,False,en,recent,surprised,bellebooks96,Belle,102,6574,888
Mon Nov 11 06:36:26 +0000 2019,1193779497956343809,Sooo we got cheated again. Not surprised. They just used us for the publicity but Karma is an ARMY. We just gotta wait..,False,[],[],0,0,,en,recent,surprised,_la_rebe,Becca❣Moonchild🌕,140,36938,26161
Mon Nov 11 06:36:19 +0000 2019,1193779467841392640,"I swear I love these boys, too underrated they're very talented and also the rap came in so smoothly i was surprised
https://t.co/6AL0JBRIfT",False,[],[],0,0,False,en,recent,surprised,INTJMultifandom,Chën I'm yours #WonhoPleaseComeBack,904,14918,18410
Mon Nov 11 06:35:56 +0000 2019,1193779372299296768,"""In the case of Vivado, we were surprised to find that around one in 28 randomly generated Verilog programs trigger… https://t.co/KA4QlxYA2o",True,[],[],1,5,False,en,recent,surprised,whitequark,whitequark,14405,82722,137804
Sat Nov 09 10:20:47 +0000 2019,1193111182229614597,I really won't be surprised if Congress becomes an ally of the BJP someday. Really won't be. https://t.co/Je4kyLUyNm,False,[],[],0,7,False,en,recent,surprised,NandyAsmita,Asmita Nandy,2138,9113,5214
Sat Nov 09 10:20:43 +0000 2019,1193111165037142018,I've heard those jazz stories for years growing up. Even the stories of making your man's dick not rise with other… https://t.co/mbZIBPa8Ca,True,[],[],0,0,,en,recent,surprised,glomagic7,Gray,759,13546,43745
Sat Nov 09 10:20:27 +0000 2019,1193111100281090053,I'm surprised by my own cooking wahhh,False,[],[],0,1,,en,recent,surprised,fadiolala,Fadi,245,25106,20293
Sat Nov 09 10:20:11 +0000 2019,1193111030735495168,No surprised. https://t.co/978eWmh0Od,False,[],[],0,0,False,en,recent,surprised,ZaffoZaza,ZaffoZaza,938,24113,19643
Sat Nov 09 10:20:04 +0000 2019,1193111001752854528,"Ij a country where forensics are subpar on their best days, history is re-written every election cycle ... I am sur… https://t.co/BRQWDBEbwW",True,[],[],0,0,False,en,recent,surprised,Shruti_Pathania,shruti_pathania,175,8444,3608
Sat Nov 09 10:19:45 +0000 2019,1193110921377460224,"Why were the #Muslims hopeful gor a fair decision ? I am not surprised about the biased decision!
#BabriMasjid",False,"[{'text': 'Muslims', 'indices': [13, 21]}, {'text': 'BabriMasjid', 'indices': [98, 110]}]",[],0,0,,en,recent,surprised,suitedbooted07,من موجی,156,377,8155
Sat Nov 09 10:19:22 +0000 2019,1193110825927503872,I'm so surprised. https://t.co/jLmYLFXNfL,False,[],[],0,0,False,en,recent,surprised,197winstonsmith,I'm a fluffy teddybear,3677,184703,195039
Sat Nov 09 10:19:02 +0000 2019,1193110740351119361,"Was surprised by the fact that Death Stranding doesn’t let you urinate on unconscious enemies, but then I remembere… https://t.co/GBsrD6Z7EM",True,[],[],0,3,,en,recent,surprised,danjamin,Dan Callan,2091,3853,8250
Sat Nov 09 10:19:01 +0000 2019,1193110739671830533,Robinson is #BBC I'd be surprised if he didn't leap to their defence - his salary and expenses rely on them!! https://t.co/Wgmf30SlFb,False,"[{'text': 'BBC', 'indices': [12, 16]}]",[],0,1,False,en,recent,surprised,PaulDakers1,Hard Harri,3630,11119,34500
Sat Nov 09 10:19:00 +0000 2019,1193110734655221760,Men for you. Not surprised. https://t.co/NSJX2btmkq,False,[],[],0,1,False,en,recent,surprised,_aeraya,square bear,717,26190,66658
Sat Nov 09 10:19:00 +0000 2019,1193110734349058051,ahhh sad the can't give a surprised :( https://t.co/6f4IfRCCKY,False,[],[],0,3,False,en,recent,surprised,xxbyli0ns,dea🐯🦁,897,280,9945
Sat Nov 09 10:18:56 +0000 2019,1193110717693661184,WOW nice fight. I've never see Vanessa so aggressive before! I plesently surprised 💪 https://t.co/NvNtDlt0i3,False,[],[],0,1,False,en,recent,surprised,rj_robertjohn,PH Catfight,99,639,960
Sat Nov 09 10:18:45 +0000 2019,1193110669538811904,"that girl is very problematic ke yena, not surprised at all abd she's unapologetic about it. https://t.co/9JKkA6JziI",False,[],[],0,1,False,en,recent,surprised,Lnugelo_n,lungelo.,1849,5502,9523
Sat Nov 09 10:18:34 +0000 2019,1193110626119430144,Why Japanese people so surprised when I order my food in Japanese flawlessly? 🤷🏾‍♀️,False,[],[],0,0,,en,recent,surprised,breemaria_,Bregina ⭐️ George,361,41664,26147
Sat Nov 09 10:18:13 +0000 2019,1193110535358693377,txtzy rotys 😍 midzymoas are we surprised https://t.co/nYV5DOO199,False,[],[],0,0,False,en,recent,surprised,chimmyeonsana,lyn ♡,267,21118,8428
Sat Nov 09 10:18:07 +0000 2019,1193110511996547072,"I though I was beyond being surprised at sexism &amp; misogyny, but then this -Japanese women fighting for their right… https://t.co/UHt3W9g8px",True,[],[],0,0,False,en,recent,surprised,ValGarwood,Valerie Garwood,266,7968,6776
Sat Nov 09 10:17:58 +0000 2019,1193110475602644993,"Rugby world cup champions #Boks
Netball African champions 
Couple engaged at #KFC 
AKA reebook deal 
Cassper sumsun… https://t.co/QuMmWyZf5C",True,"[{'text': 'Boks', 'indices': [26, 31]}, {'text': 'KFC', 'indices': [77, 81]}]",[],1,3,False,en,recent,surprised,Malixole2020,Sidwell Tshingilane,691,318,6430
Sat Nov 09 10:17:55 +0000 2019,1193110459043340289,"Not surprised,  but disappointed.",False,[],[],0,1,,en,recent,surprised,dndoublen,Dndoublen,184,3989,28796
Sat Nov 09 10:17:42 +0000 2019,1193110406140583936,I am still surprised to this day by how productive Singaporeans are.,False,[],[],0,1,,en,recent,surprised,rifqita,rifqi,404,474,713
Sat Nov 09 10:17:24 +0000 2019,1193110330030903297,"Regular white people stuff, we ain’t surprised anymore🙄🙄 https://t.co/fuZuUC17fG",False,[],[],0,0,False,en,recent,surprised,lord_ragnal,Ronald👑,1392,12656,6795
Sat Nov 09 10:17:20 +0000 2019,1193110312720842752,"♪You're lucky I'm so nice, even I'm surprised that you are even allowed to hang in my group♪",False,[],[],0,0,,en,recent,surprised,LyricalSing_Bot,♪,16,0,81675
Sat Nov 09 10:16:52 +0000 2019,1193110195393556481,"X1 using VIP gate, Thai fans can't see them and they can't give a surprised for dohyon. all reporters started running inside",False,[],[],340,370,,en,recent,surprised,SIRYOUTH,𝒚𝒐𝒖𝒕𝒉,5448,3676,3797
Sat Nov 09 10:16:43 +0000 2019,1193110160253698048,"""I'm surprised you're still alive, and as a kid.."" -Gin to Conan",False,[],[],0,0,,en,recent,surprised,DetectiveC_ID,Detective Conan_ID,1217,5,121843
Sat Nov 09 10:16:37 +0000 2019,1193110132017782785,"When i pop out, mind your business and don’t act surprised",False,[],[],0,4,,en,recent,surprised,Princessjayy_4,Jayla 🤍,6547,160041,144490
Sat Nov 09 10:16:18 +0000 2019,1193110054905565186,"Sorry but not surprised, levels of detail in education are definitely getting inferior.
It's like the educators thi… https://t.co/f9VbiqSZCS",True,[],[],0,0,False,en,recent,surprised,SianJasper,Sian Jasper,872,5787,224140
Sat Nov 09 10:16:17 +0000 2019,1193110050191093760,"Does he was surprised if I didn't, but I’ve learned a Rum",False,[],[],0,0,,en,recent,surprised,hashbridges,The Mask,62,372,29598
Sat Nov 09 10:16:11 +0000 2019,1193110023355932672,I am not surprised that Tacha is getting all this love. The young girl can love ehn. She is pure and the universe r… https://t.co/by4NXL7ts9,True,[],[],2,6,False,en,recent,surprised,DrFabmannies,Udeme Umanah,223,5715,305
Sat Nov 09 10:15:41 +0000 2019,1193109900626411521,the fact that i’m not even surprised she did thag is big sabrina energy https://t.co/CErBqjexWH,False,[],[],0,34,False,en,recent,surprised,worksoprfctly_,disaster,441,2609,4761
Sat Nov 09 10:15:30 +0000 2019,1193109850907013120,Don’t know why LW is so much surprised. All the things which are happening in BJP tenure were pre declared in their… https://t.co/N241MzacsB,True,[],[],0,0,,en,recent,surprised,Aakash1110_,Aakash Singhal,7,750,279
