timestamp,id,text,truncated,hashtags,symbols,retweet_count,favorite_count,possibly_sensitive_link,lang,result_type,filtered_for,user_handle,user_name,user_follower_count,user_favorites_count,user_lifetime_interactions
Sun Nov 10 02:05:00 +0000 2019,1193348803438534656,The difference between those who are able to rise above their adversities and those who get stuck in them is: attit… https://t.co/HR2mpHQehA,True,[],[],1116,5637,,en,popular,thankful,VictoriaOsteen,Victoria Osteen,1209467,305,11505
Sun Nov 10 19:41:35 +0000 2019,1193614699272667136,"Happy Birthday USMC. 

I will forever be thankful for my first taste of military discipline from a knife-hand wield… https://t.co/SPD8rT8XAE",True,[],[],645,5499,False,en,popular,thankful,DanCrenshawTX,Dan Crenshaw,669916,846,1107
Sun Nov 10 01:32:30 +0000 2019,1193340624402964481,"Madam you’re a refugee in our land. At best a guest.
Please be thankful, not intrusive. 🙏 https://t.co/jp23AY9xUu",False,[],[],1341,6216,False,en,popular,thankful,anuraag_saxena,Anuraag Saxena,28816,21223,33005
Mon Nov 11 03:27:16 +0000 2019,1193731893776277505,So blessed to have my girlfriend in my life. I’ve literally never felt so loved by an individual before until I met… https://t.co/HBPXWdVvO0,True,[],[],0,0,,en,recent,thankful,GriffinTheOwner,A2M Griffin,1575,18680,9081
Mon Nov 11 03:27:15 +0000 2019,1193731888294309889,This man notes the change in doctrine and delivery of the Church of England. I’m thankful for men like him. We need… https://t.co/Il8OnrNCEc,True,[],[],0,0,False,en,recent,thankful,mnbookman,mnbookman,248,2678,5308
Mon Nov 11 03:27:12 +0000 2019,1193731874977435648,Shut the fuck up and quit your bitching. Be thankful for once,False,[],[],0,0,,en,recent,thankful,Ks_Girl04,S ➵,509,2360,6623
Mon Nov 11 03:27:11 +0000 2019,1193731873987448832,Today I am thankful for Amari Cooper,False,[],[],0,0,,en,recent,thankful,Tinaamayy,tina☆,88,691,8783
Mon Nov 11 03:27:08 +0000 2019,1193731861392101382,The last two days have been spent with people I care about and its something I'm very thankful for.,False,[],[],0,0,,en,recent,thankful,randomscreename,E.M.,343,10806,98946
Mon Nov 11 03:26:55 +0000 2019,1193731804559298562,I'm so thankful my work is closed tomorrow 🎉😴😴😴😴,False,[],[],0,0,,en,recent,thankful,CarringtonJess,Jessica,182,10673,21656
Mon Nov 11 03:26:53 +0000 2019,1193731798116786176,This Thanksgiving season I’m thankful that the Oakland Raiders didn’t want Amari Cooper anymore,False,[],[],0,1,,en,recent,thankful,thegoods33,Stove Malone,1057,25227,62059
Mon Nov 11 03:26:44 +0000 2019,1193731758488838144,i rly needed to hang out w friends this weekend and im so thankful for all of them,False,[],[],0,0,,en,recent,thankful,hoseokscenery,hobi,800,164368,118131
Mon Nov 11 03:26:31 +0000 2019,1193731705359781888,"Life means opportunity, another chance, it means salvation is possible, miracles are possible, fellowship is availa… https://t.co/fMbW0hEyPX",True,[],[],0,0,,en,recent,thankful,ThatGurlLissa,𝗖𝘂𝘀𝗵𝗶𝘁𝗲 𝗙𝗮𝗰𝗲🍃,1143,7163,3524
Mon Nov 11 03:26:31 +0000 2019,1193731703191130119,And I'm thankful for the proper use of the possessive in your Twitter handle. https://t.co/lrkEeLhiuU,False,[],[],0,0,False,en,recent,thankful,dearmondak,dearmondak,164,11498,805
Mon Nov 11 03:26:29 +0000 2019,1193731697444917248,My friends always cheep me up and I’m so thankful for them 😭,False,[],[],0,0,,en,recent,thankful,HuffmanBryanna,Bry,390,7142,15709
Mon Nov 11 03:26:29 +0000 2019,1193731696522231808,Alright so lets go back to being protective lol 🤣 So since Im so thankful for her for dear life that she cant even… https://t.co/vzou7OzeEU,True,[],[],0,0,,en,recent,thankful,sheenakye,Sheena Kaye Entila,1249,13036,79404
Sun Nov 10 01:32:18 +0000 2019,1193340574893395968,I’m honestly blessed af. The people in my life are all amazing. I love them all sm. Very thankful.,False,[],[],0,3,,en,recent,thankful,kareneglects,🤘🏽,645,41370,46411
Sun Nov 10 01:32:17 +0000 2019,1193340570741039104,Man am honored and so thankful for these kinds of shout outs ! https://t.co/FwqAYdZtTk,False,[],[],0,2,False,en,recent,thankful,MystiqueLoba,✨❄️✨MystiqueLoba✨❄️✨#RaidRescueTeam,649,2841,11803
Sun Nov 10 01:32:11 +0000 2019,1193340544275099650,I am honestly so thankful that I was born into my family because it is LIT as fuck 😂😂😂,False,[],[],0,1,,en,recent,thankful,matthjackson98,M,685,15178,5062
Sun Nov 10 01:32:11 +0000 2019,1193340542756802560,"30 Days of Thankful 》Day 9
  ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀  ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
Thankful for Bing Crosby serenades and sparkling snow. https://t.co/krZDZdHmzI",False,[],[],0,0,False,en,recent,thankful,meganlouise57,Megan Sutton,204,1665,3170
Sun Nov 10 01:32:06 +0000 2019,1193340523584643072,I guess this confirms JT stands for Jon Travolta and not Just Thankful https://t.co/STs5zeSY3x,False,[],[],0,0,False,en,recent,thankful,Aman_cookie,Cookie Boy,261,84922,5206
